Região Geográfica,Unidade da Federação,Faixa de Proeficiência,Total_Desempenho,Idade,Quantidade,area
Nordeste,Rio Grande do Norte,701-800,9593.0,17,1626.0,Redação
Nordeste,Rio Grande do Norte,801-900,9787.0,17,1892.0,Redação
Nordeste,Rio Grande do Norte,901-1.000,8087.0,17,1602.0,Redação
Nordeste,Rio Grande do Norte,>1.001,6.0,17,2.0,Redação
Nordeste,Paraíba,0 -100,11.0,17,2.0,Redação
Nordeste,Paraíba,101-200,75.0,17,9.0,Redação
Nordeste,Paraíba,201-300,1503.0,17,157.0,Redação
Nordeste,Paraíba,301-400,5946.0,17,823.0,Redação
Nordeste,Paraíba,401-500,9504.0,17,1254.0,Redação
Nordeste,Paraíba,501-600,17374.0,17,2490.0,Redação
Nordeste,Paraíba,601-700,17480.0,17,3218.0,Redação
